0: 0
1: 1
2: 1
3: 2
4: 4
5: 9
6: 14
7: 30
8: 73
9: 11E
10: 2CF
11: 732
12: 129E
13: 30C6
14: 80CD
15: 15703
16: 39775
17: 9AFDF
18: 1A4347
19: 478B24
20: C3B674
21: 2197148
22: 5C8F1CD
23: FFDABE7
24: 2C5457B8
25: 7B3694F5
26: 1574D141E
27: 3BEAA4F39
28: A7AA1549D
29: 1D614E03C4
30: 52857C816D
31: E82C0DC6A6
32: 28E3D23913C
33: 7364E1764A3
34: 1461A04B5060
35: 39AC31A81885
36: A36567EA6B10
37: 1CF77B6B0D4BC
38: 5240F62D1D3A5
39: E9CFB9AB05DCE
40: 299486A62CB225
41: 766C4D273A7D70
42: 1519443C23C7D65
43: 3C321F4A3691690
44: 4CA05245E42E6C4
15 ticks; 0.015000 ms  (Ticks/Sec) = 1000000
